# params: rsiLen=2 fastLen=1 slowLen=2 areaLook=5 botMinW=1 botMaxW=2 botCtx=2 botSep=5 topMinW=1 topMaxW=2 topCtx=3 topSep=5 turnMax=12 turnHold=2 topNeedHigh=False
# top area off: top squares at 16, 36, 46; SEP block at 20; WIDTH block at 26; CTX block at 32; TOP turns at 23 (gap 8) and 39 (gap 4); EXPIRY at 61
bar,open,high,low,close,exp_rsi,exp_slow,exp_atr,exp_state,exp_posW,exp_inLow,exp_inHigh,exp_botRaw,exp_botWid,exp_topRaw,exp_topWid,exp_botSq,exp_botSqTop,exp_botSqBot,exp_topSq,exp_topSqTop,exp_topSqBot,exp_botArmed,exp_topArmed,exp_botTurn,exp_botGap,exp_topTurn,exp_topGap,exp_botTick,exp_topTick,exp_legDir,exp_legDist,exp_legBars,exp_legEff,exp_leg1,exp_leg2
25,99,99.5,99,99.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
26,99.5,100,99.5,100,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
27,100,100,99.5,99.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
28,99.5,100,99.5,100,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
29,100,100,99.5,99.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
30,99.5,100,99.5,100,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
31,100,100.5,100,100.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
32,100.5,101,100.5,101,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
33,101,101,100.5,100.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
34,100.5,101,100.5,101,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
35,101,101.5,101,101.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
36,101.5,102,101.5,102,,,,1,,,,0,,1,1,0,,,1,,,0,1,0,,0,,,,0,,,,,
37,102,102,101.5,101.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
38,101.5,101.5,101,101,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
39,101,101,100.5,100.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,1,4,,,-1,2,16,0.25,DN 2 / 16b / eff 0.25,UP 3 / 11b / eff 0.33
40,100.5,101,100.5,101,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
41,101,101.5,101,101.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
42,101.5,102,101.5,102,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
43,102,102,101.5,101.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
44,101.5,102,101.5,102,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
45,102,102.5,102,102.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
46,102.5,103,102.5,103,,,,1,,,,0,,1,1,0,,,1,,,0,1,0,,0,,,,0,,,,,
47,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
48,102.5,103,102.5,103,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
49,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
50,102.5,103,102.5,103,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
51,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
52,102.5,103,102.5,103,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
53,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
54,102.5,103,102.5,103,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
55,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
56,102.5,103,102.5,103,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
57,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
58,102.5,103,102.5,103,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
59,103,103,102.5,102.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
60,102.5,102.5,102,102,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
61,102,102,101.5,101.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
