# params: rsiLen=2 fastLen=1 slowLen=2 areaLook=5 botMinW=1 botMaxW=2 botCtx=2 botSep=5 topMinW=1 topMaxW=2 topCtx=3 topSep=5 turnMax=12 turnHold=2 botNeedLow=False topNeedHigh=False
# area off: bottom squares at 9, 24, 45, 65; SEP block at 27; WIDTH block at 37; CTX block at 42; turn EXPIRY at 60; HOLD block at 68; turns at 12, 30, 70; legs close at 19, 30, 70
bar,open,high,low,close,exp_rsi,exp_slow,exp_atr,exp_state,exp_posW,exp_inLow,exp_inHigh,exp_botRaw,exp_botWid,exp_topRaw,exp_topWid,exp_botSq,exp_botSqTop,exp_botSqBot,exp_topSq,exp_topSqTop,exp_topSqBot,exp_botArmed,exp_topArmed,exp_botTurn,exp_botGap,exp_topTurn,exp_topGap,exp_botTick,exp_topTick,exp_legDir,exp_legDist,exp_legBars,exp_legEff,exp_leg1,exp_leg2
24,93,93,92.5,92.5,,,,0,,,,1,1,0,,1,35.296318,19.103287,0,,,1,0,0,,0,,,,0,,,,,
25,92.5,93,92.5,93,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
26,93,93,92.5,92.5,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
27,92.5,92.5,92,92,,,,0,,,,1,1,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
28,92,93,92,93,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
29,93,94,93,94,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
30,94,95,94,95,,,,1,,,,0,,0,,0,,,0,,,0,0,1,6,0,,,,-1,0,11,0,DN 0 / 11b / eff 0.00,UP 0.5 / 7b / eff 0.08
31,95,95,94.5,94.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
32,94.5,94.5,94,94,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
33,94,94.5,94,94.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
34,94.5,95,94.5,95,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
35,95,95.5,95,95.5,,,,1,,,,0,,1,2,0,,,2,,,0,1,0,,0,,,,0,,,,,
36,95.5,95.5,95,95,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
37,95,95,94.5,94.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
38,94.5,95,94.5,95,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
39,95,95,94.5,94.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
40,94.5,95,94.5,95,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
41,95,95,94.5,94.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
42,94.5,94.5,94,94,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
43,94,94.5,94,94.5,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
44,94.5,94.5,94,94,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
45,94,94,93.5,93.5,,,,0,,,,1,1,0,,1,,,0,,,1,1,0,,0,,,,0,,,,,
46,93.5,94,93.5,94,,,,1,,,,0,,0,,0,,,0,,,1,1,0,,0,,,,0,,,,,
47,94,94,93.5,93.5,,,,0,,,,0,,0,,0,,,0,,,1,1,0,,0,,,,0,,,,,
48,93.5,94,93.5,94,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
49,94,94,93.5,93.5,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
50,93.5,94,93.5,94,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
51,94,94,93.5,93.5,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
52,93.5,94,93.5,94,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
53,94,94,93.5,93.5,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
54,93.5,94,93.5,94,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
55,94,94,93.5,93.5,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
56,93.5,94,93.5,94,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
57,94,94,93.5,93.5,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
58,93.5,94.5,93.5,94.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
59,94.5,95.5,94.5,95.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
60,95.5,96.5,95.5,96.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
61,96.5,96.5,96,96,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
62,96,96,95.5,95.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
63,95.5,96,95.5,96,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
64,96,96,95.5,95.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
65,95.5,95.5,95,95,,,,0,,,,1,1,0,,1,,,0,,,1,0,0,,0,,,,0,,,,,
66,95,95.5,95,95.5,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
67,95.5,95.5,95,95,,,,0,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
68,95,95.5,95,95.5,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
69,95.5,96,95.5,96,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
70,96,96.5,96,96.5,,,,1,,,,0,,0,,0,,,0,,,0,0,1,5,0,,,,1,1.5,40,0.069767,UP 1.5 / 40b / eff 0.07,DN 0 / 11b / eff 0.00
